File,Image Name,Z level,Not Clones Area,Caspase Area,Not Clones Caspase Area,Pouch Area<Losers_[Genotype:1]>,Clone Area<Losers_[Genotype:1]>,Border Area<Losers_[Genotype:1]>,Center Area<Losers_[Genotype:1]>,Border Caspase<Losers_[Genotype:1]>,Center Caspase<Losers_[Genotype:1]>,Clone Caspase<Losers_[Genotype:1]>,Total Number of ClonesGenotype_1,Total Caspase CellsGenotype_1,Caspase Count in BorderGenotype_1,Caspase Count in CenterGenotype_1,Total Cell countGenotype_1,Cell Count in BorderGenotype_1,Cell Count in CenterGenotype_1
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,2,11479.572,432.106,3.638,14987.637,3508.065,3290.666,217.399,412.170,16.298,428.468,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,3,11440.283,458.007,14.260,14987.637,3547.354,3356.002,191.352,425.412,18.335,443.747,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,4,11378.730,436.616,30.194,14987.637,3608.907,3436.981,171.925,406.277,0.146,406.422,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,5,11391.972,362.986,38.125,14987.637,3595.665,3407.005,188.660,324.861,0.000,324.861,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,6,11391.899,260.107,36.742,14987.637,3595.738,3353.893,241.845,223.365,0.000,223.365,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,7,11439.337,172.653,24.883,14987.637,3548.373,3322.752,225.620,147.770,0.000,147.770,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,8,11443.848,135.329,20.518,14987.637,3543.935,3317.441,226.493,114.811,0.000,114.811,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,9,11476.516,99.023,14.551,14987.637,3511.267,3272.113,239.153,84.471,0.000,84.471,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,10,11532.248,75.740,4.875,14987.637,3455.389,3206.486,248.903,70.866,0.000,70.866,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,11,11655.353,32.741,1.601,14987.637,3332.284,3096.623,235.661,31.140,0.000,31.140,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,12,11670.705,47.292,0.291,14987.637,3316.932,3079.016,237.916,47.001,0.000,47.001,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,13,11660.228,55.732,1.746,14987.637,3327.482,3081.635,245.847,53.986,0.000,53.986,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,14,11701.336,53.768,0.000,14987.637,3286.228,3038.199,248.030,53.768,0.000,53.768,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,15,11692.023,49.038,1.892,14987.637,3295.614,3042.346,253.268,47.147,0.000,47.147,16,46,42,0,1150,1028,117
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif, - ref2pRNAi_020,16,11665.175,43.291,2.255,14987.637,3322.461,3060.390,262.072,41.035,0.000,41.035,16,46,42,0,1150,1028,117
